path,Lat,Long,Time
/OpenCamera/IMG_20230319_072904_DRO.jpg,-12.1075801849,-76.9452133178,44905
/OpenCamera/IMG_20230319_072932_DRO.jpg,-12.1078596115,-76.9448089599,44935
/OpenCamera/IMG_20230319_073007_DRO.jpg,-12.108130455,-76.9444198608,44965
/OpenCamera/IMG_20230319_073035_DRO.jpg,-12.108420372,-76.9440536499,44995
/OpenCamera/IMG_20230319_073102_DRO.jpg,-12.1086997985,-76.9437408447,45025
/OpenCamera/IMG_20230319_073135_DRO.jpg,-12.1090202331,-76.9434814453,45055
/OpenCamera/IMG_20230319_073206_DRO.jpg,-12.1093502044,-76.9432678222,45085
/OpenCamera/IMG_20230319_073232_DRO.jpg,-12.1097097396,-76.943069458,45115
/OpenCamera/IMG_20230319_073304_DRO.jpg,-12.1100702285,-76.9429016113,45145
/OpenCamera/IMG_20230319_073337_DRO.jpg,-12.1104602813,-76.9427108764,45175
/OpenCamera/IMG_20230319_073404_DRO.jpg,-12.1107997894,-76.9425277709,45205
/OpenCamera/IMG_20230319_073431_DRO.jpg,-12.1112098693,-76.9423599243,45235
/OpenCamera/IMG_20230319_073507_DRO.jpg,-12.111579895,-76.942199707,45265
/OpenCamera/IMG_20230319_073534_DRO.jpg,-12.111960411,-76.9420700073,45295
/OpenCamera/IMG_20230319_073606_DRO.jpg,-12.1123800277,-76.9419021606,45325
/OpenCamera/IMG_20230319_073634_DRO.jpg,-12.1128101348,-76.9417495727,45355
/OpenCamera/IMG_20230319_073707_DRO.jpg,-12.1132202148,-76.9415283203,45385
/OpenCamera/IMG_20230319_073734_DRO.jpg,-12.1135196685,-76.941329956,45415
/OpenCamera/IMG_20230319_073801_DRO.jpg,-12.1138601303,-76.9411315917,45445
/OpenCamera/IMG_20230319_073837_DRO.jpg,-12.1141500473,-76.9408874511,45475
/OpenCamera/IMG_20230319_073902_DRO.jpg,-12.1144695281,-76.9406433105,45505
/OpenCamera/IMG_20230319_073935_DRO.jpg,-12.114830017,-76.9403610229,45535
/OpenCamera/IMG_20230319_074001_DRO.jpg,-12.1151304244,-76.9400634765,45565
/OpenCamera/IMG_20230319_074032_DRO.jpg,-12.1154804229,-76.9397888183,45595
/OpenCamera/IMG_20230319_074104_DRO.jpg,-12.115819931,-76.9394607543,45625
/OpenCamera/IMG_20230319_074135_DRO.jpg,-12.1161003112,-76.9391708374,45655
/OpenCamera/IMG_20230319_074201_DRO.jpg,-12.1159000396,-76.9388198852,45685
/OpenCamera/IMG_20230319_074232_DRO.jpg,-12.1155796051,-76.9384613037,45715
/OpenCamera/IMG_20230319_074303_DRO.jpg,-12.115240097,-76.9380874633,45745
/OpenCamera/IMG_20230319_074333_DRO.jpg,-12.1149101257,-76.9376831054,45775
/OpenCamera/IMG_20230319_074406_DRO.jpg,-12.1146202087,-76.9373092651,45805
/OpenCamera/IMG_20230319_074432_DRO.jpg,-12.1143102645,-76.936920166,45835
/OpenCamera/IMG_20230319_074438_DRO.jpg,-12.1139698028,-76.9365234375,45865
